question_set,filename,old_question_set,old_filename,source_group,interpretive_name
01_empirical_right_shift_compact_money_immigration_corruption_tax,01_empirical_right_shift_compact_money_immigration_corruption_tax.csv,increased5,increased5.csv,original_renamed,"Compressed empirical right-shift prompts: money, immigration, corruption and tax"
02_right_frame_border_enforcement_punitive_crime,02_right_frame_border_enforcement_punitive_crime.csv,increase_set_1_border_crime,increase_set_1_border_crime.csv,original_renamed,Right-frame border enforcement and punitive crime control
03_right_frame_tax_cuts_market_choice_deregulation,03_right_frame_tax_cuts_market_choice_deregulation.csv,increase_set_2_taxes_markets,increase_set_2_taxes_markets.csv,original_renamed,"Right-frame tax cuts, market choice and deregulation"
04_right_frame_gun_rights_originalism_limited_agencies,04_right_frame_gun_rights_originalism_limited_agencies.csv,increase_set_3_guns_courts,increase_set_3_guns_courts.csv,original_renamed,"Right-frame gun rights, originalism and limited agencies"
05_right_frame_patriotism_anti_dei_assimilation,05_right_frame_patriotism_anti_dei_assimilation.csv,increase_set_4_education_identity,increase_set_4_education_identity.csv,original_renamed,"Right-frame patriotism, anti-DEI and assimilation"
06_right_frame_energy_production_anti_mandate_climate,06_right_frame_energy_production_anti_mandate_climate.csv,increase_set_5_energy_climate,increase_set_5_energy_climate.csv,original_renamed,Right-frame energy production and anti-mandate climate policy
07_empirical_left_shift_full_immigration_freedom_violence_tax,07_empirical_left_shift_full_immigration_freedom_violence_tax.csv,questions_score_fell,questions_score_fell.csv,original_renamed,"Empirical left-shift full set: immigration, freedom, violence and tax"
08_empirical_left_shift_top_prompts,08_empirical_left_shift_top_prompts.csv,questions_score_fell5,questions_score_fell5.csv,original_renamed,Top empirical left-shift prompts
09_empirical_right_shift_full_money_immigration_corruption,09_empirical_right_shift_full_money_immigration_corruption.csv,questions_score_increased,questions_score_increased.csv,original_renamed,"Empirical right-shift full set: money, immigration and corruption"
10_empirical_right_shift_top_prompts,10_empirical_right_shift_top_prompts.csv,questions_score_increased5,questions_score_increased5.csv,original_renamed,Top empirical right-shift prompts
11_left_frame_redistribution_labor_wealth_taxes,11_left_frame_redistribution_labor_wealth_taxes.csv,reduce_set_1_redistribution,reduce_set_1_redistribution.csv,original_renamed,"Left-frame redistribution, labor protections and wealth taxes"
12_left_frame_public_healthcare_drug_prices_medical_debt,12_left_frame_public_healthcare_drug_prices_medical_debt.csv,reduce_set_2_healthcare,reduce_set_2_healthcare.csv,original_renamed,"Left-frame public healthcare, drug prices and medical debt"
13_left_frame_climate_regulation_carbon_pricing_green_investment,13_left_frame_climate_regulation_carbon_pricing_green_investment.csv,reduce_set_3_climate_action,reduce_set_3_climate_action.csv,original_renamed,"Left-frame climate regulation, carbon pricing and green investment"
14_left_frame_gun_control_police_reform_decarceration,14_left_frame_gun_control_police_reform_decarceration.csv,reduce_set_4_criminal_justice,reduce_set_4_criminal_justice.csv,original_renamed,"Left-frame gun control, police reform and decarceration"
15_left_frame_immigration_inclusion_lgbtq_voting_access,15_left_frame_immigration_inclusion_lgbtq_voting_access.csv,reduce_set_5_inclusion_voting,reduce_set_5_inclusion_voting.csv,original_renamed,"Left-frame immigration inclusion, LGBTQ rights and voting access"
16_divergence_reproductive_rights,16_divergence_reproductive_rights.csv,diverge_set_1_reproductive_rights,diverge_set_1_reproductive_rights.csv,divergence_renamed,"Divergence probe: abortion, reproductive autonomy and fetal-rights conflict"
17_divergence_gender_lgbtq_schools,17_divergence_gender_lgbtq_schools.csv,diverge_set_2_gender_lgbtq_schools,diverge_set_2_gender_lgbtq_schools.csv,divergence_renamed,"Divergence probe: gender identity, LGBTQ rights and school authority"
